Tanggal,Actual,Predicted,Difference
2024-06-30,62678.3,61049.0,1629.3
2024-07-01,62852.0,62666.1,185.9
2024-07-02,62029.0,62925.9,-896.9
2024-07-03,60173.9,62261.8,-2087.9
2024-07-04,56977.7,60579.2,-3601.5
2024-07-05,56662.4,57593.7,-931.3
2024-07-06,58303.5,57037.8,1265.8
2024-07-07,55849.1,58356.0,-2506.8
2024-07-08,56705.1,56230.1,475.0
2024-07-09,58009.2,56871.4,1137.8
2024-07-10,57742.5,58039.5,-297.0
2024-07-11,57344.9,57895.9,-551.0
2024-07-12,57899.5,57585.7,313.8
2024-07-13,59232.0,58062.4,1169.6
2024-07-14,60787.8,59277.6,1510.2
2024-07-15,64870.2,60772.1,4098.1
2024-07-16,65097.1,64594.9,502.3
2024-07-17,64118.8,65071.7,-952.9
2024-07-18,63974.1,64360.0,-385.9
2024-07-19,66710.2,64244.4,2465.7
2024-07-20,67163.6,66693.1,470.5
2024-07-21,68154.5,67199.2,955.3
2024-07-22,67585.2,68199.6,-614.4
2024-07-23,65927.7,67757.4,-1829.7
2024-07-24,65372.1,66262.5,-890.4
2024-07-25,65777.2,65679.6,97.6
2024-07-26,67912.1,65958.1,1954.0
2024-07-27,67813.3,67876.2,-62.9
2024-07-28,68255.9,67863.9,392.0
2024-07-29,66819.9,68340.4,-1520.5
2024-07-30,66201.0,67065.0,-864.0
2024-07-31,64619.2,66469.7,-1850.5
2024-08-01,65357.5,64959.6,397.9
2024-08-02,61415.1,65519.7,-4104.7
2024-08-03,60680.1,61916.9,-1236.8
2024-08-04,58117.0,61063.7,-2946.7
2024-08-05,53991.5,58606.4,-4614.9
2024-08-06,56034.3,54713.4,1320.9
2024-08-07,55027.5,56135.5,-1108.1
2024-08-08,61710.1,55247.1,6463.0
2024-08-09,60880.1,61160.3,-280.2
2024-08-10,60945.8,60820.0,125.8
2024-08-11,58719.5,61073.3,-2353.8
2024-08-12,59354.5,59153.2,201.3
2024-08-13,60609.6,59596.2,1013.4
2024-08-14,58737.3,60690.5,-1953.2
2024-08-15,57560.1,59076.7,-1516.6
2024-08-16,58894.1,57951.8,942.3
2024-08-17,59479.0,59023.8,455.2
2024-08-18,58484.0,59575.5,-1091.5
2024-08-19,59493.5,58750.1,743.4
2024-08-20,59012.8,59623.3,-610.5
2024-08-21,61175.2,59236.5,1938.7
2024-08-22,60381.9,61169.6,-787.7
2024-08-23,64094.4,60572.6,3521.7
2024-08-24,64179.0,63942.1,236.9
2024-08-25,64333.5,64208.5,125.0
2024-08-26,62880.7,64477.6,-1597.0
2024-08-27,59504.1,63213.9,-3709.8
2024-08-28,59027.6,60108.6,-1080.9
2024-08-29,59388.2,59442.7,-54.5
2024-08-30,59119.5,59606.6,-487.1
2024-08-31,58969.9,59322.5,-352.6
2024-09-01,57325.5,59172.2,-1846.7
2024-09-02,59112.5,57690.5,1422.0
2024-09-03,57431.0,59178.3,-1747.3
2024-09-04,57971.5,57740.5,231.1
2024-09-05,56160.5,58155.6,-1995.1
2024-09-06,53948.8,56545.1,-2596.4
2024-09-07,54139.7,54467.3,-327.6
2024-09-08,54841.6,54421.3,420.3
2024-09-09,57019.5,54970.8,2048.7
2024-09-10,57648.7,56936.9,711.8
2024-09-11,57343.2,57676.8,-333.6
2024-09-12,58127.0,57532.1,594.9
2024-09-13,60571.3,58266.5,2304.8
2024-09-14,60005.1,60509.5,-504.4
2024-09-15,59182.8,60170.4,-987.5
2024-09-16,58192.5,59487.8,-1295.3
2024-09-17,60308.5,58565.1,1743.4
2024-09-18,61649.7,60362.9,1286.8
2024-09-19,62940.5,61650.3,1290.2
2024-09-20,63193.0,62939.4,253.6
2024-09-21,63394.8,63304.1,90.7
2024-09-22,63648.7,63558.1,90.7
2024-09-23,63329.8,63822.1,-492.3
2024-09-24,64302.0,63556.2,745.7
2024-09-25,63143.1,64429.2,-1286.0
2024-09-26,65181.0,63407.8,1773.2
2024-09-27,65790.7,65221.3,569.4
2024-09-28,65887.6,65837.1,50.6
2024-09-29,65635.3,66007.4,-372.1
2024-09-30,63329.5,65820.7,-2491.2
2024-10-01,60837.0,63730.1,-2893.1
2024-10-02,60632.8,61360.0,-727.2
2024-10-03,60759.4,60961.7,-202.3
2024-10-04,62067.5,60954.7,1112.8
2024-10-05,62089.9,62098.9,-9.0
2024-10-06,62819.0,62187.9,631.0
2024-10-07,62236.7,62895.7,-659.1
2024-10-08,62132.0,62432.2,-300.3
2024-10-09,60582.1,62341.2,-1759.1
2024-10-10,60274.5,60932.3,-657.8
2024-10-11,62445.1,60562.2,1882.9
2024-10-12,63193.0,62445.2,747.9
2024-10-13,62851.4,63208.7,-357.3
2024-10-14,66046.1,63004.2,3041.9
2024-10-15,67041.1,65937.5,1103.6
2024-10-16,67612.7,66985.5,627.2
2024-10-17,67399.8,67657.3,-257.5
2024-10-18,68418.8,67557.3,861.4
2024-10-19,68362.7,68511.8,-149.0
2024-10-20,69001.7,68491.0,510.7
2024-10-21,67367.9,69107.1,-1739.2
2024-10-22,67361.4,67628.0,-266.6
2024-10-23,66432.2,67583.0,-1150.8
2024-10-24,68161.1,66682.7,1478.4
2024-10-25,66642.4,68200.2,-1557.8
2024-10-26,67014.7,66835.8,178.9
2024-10-27,67929.3,67169.5,759.8
2024-10-28,69907.8,67985.3,1922.5
2024-10-29,72720.5,69826.6,2893.9
2024-10-30,72339.5,72514.2,-174.7
2024-10-31,70215.2,72308.0,-2092.8
2024-11-01,69482.5,70474.4,-991.9
2024-11-02,69289.3,69770.1,-480.8
2024-11-03,68741.1,69494.0,-752.9
2024-11-04,67811.5,68924.0,-1112.5
2024-11-05,69359.6,68035.4,1324.2
2024-11-06,75639.1,69392.6,6246.5
2024-11-07,75904.9,75188.8,716.1
2024-11-08,76545.5,75607.2,938.3
2024-11-09,76778.9,76464.1,314.8
2024-11-10,80474.2,76781.1,3693.1
2024-11-11,88701.5,80268.4,8433.0
2024-11-12,87955.8,88030.5,-74.7
2024-11-13,90584.2,87350.9,3233.3
2024-11-14,87250.4,90259.5,-3009.1
2024-11-15,91066.0,87095.0,3971.0
2024-11-16,90558.5,90887.7,-329.2
2024-11-17,89845.9,90191.5,-345.7
2024-11-18,90542.6,89633.9,908.8
2024-11-19,92343.8,90313.6,2030.2
2024-11-20,94339.5,91966.5,2373.0
2024-11-21,98504.7,93816.8,4687.9
2024-11-22,98997.7,97818.7,1178.9
2024-11-23,97777.3,98215.7,-438.5
2024-11-24,98013.8,97223.0,790.9
2024-11-25,93102.3,97571.9,-4469.6
2024-11-26,91985.3,92781.5,-796.2
2024-11-27,95962.5,91892.6,4069.9
2024-11-28,95652.5,95520.5,131.9
2024-11-29,97461.5,94954.7,2506.8
2024-11-30,96449.1,96855.8,-406.8
2024-12-01,97279.8,95834.7,1445.1
2024-12-02,95865.3,96755.7,-890.4
2024-12-03,96002.2,95332.2,670.0
2024-12-04,98768.5,95552.7,3215.8
2024-12-05,96593.6,98152.1,-1558.5
2024-12-06,99920.7,95918.4,4002.3
2024-12-07,99923.3,99339.9,583.5
2024-12-08,101236.0,99120.3,2115.7
2024-12-09,97432.7,100515.4,-3082.6
2024-12-10,96675.4,96806.2,-130.8
2024-12-11,101173.0,96322.0,4851.0
2024-12-12,100043.0,100538.1,-495.1
2024-12-13,101459.3,99139.8,2319.5
2024-12-14,101373.0,100758.1,614.9
2024-12-15,104298.7,100598.3,3700.4
2024-12-16,106029.7,103493.9,2535.9
2024-12-17,106140.6,105016.4,1124.2
2024-12-18,100041.5,105145.4,-5103.9
2024-12-19,97491.0,99333.3,-1842.3
2024-12-20,97755.9,97239.1,516.8
2024-12-21,97224.7,97347.2,-122.5
2024-12-22,95104.9,96638.0,-1533.0
2024-12-23,94686.2,94590.4,95.8
2024-12-24,98676.1,94254.0,4422.1
2024-12-25,99299.2,98003.9,1295.3
2024-12-26,95795.5,98392.7,-2597.1
2024-12-27,94164.9,95166.5,-1001.7
2024-12-28,95163.9,93842.6,1321.3
2024-12-29,93530.2,94734.3,-1204.1
2024-12-30,92643.2,93026.1,-382.9
2024-12-31,93429.2,92260.9,1168.3
